origin,displacement_type,time,displaced_population
abw,asylum_seekers,2010,1
afg,asylum_seekers,2000,40294
afg,asylum_seekers,2001,30793
afg,asylum_seekers,2002,26694
afg,asylum_seekers,2003,26315
afg,asylum_seekers,2004,16990
afg,asylum_seekers,2005,14033
afg,asylum_seekers,2006,14977
afg,asylum_seekers,2007,16088
afg,asylum_seekers,2008,23179
afg,asylum_seekers,2009,30412
afg,asylum_seekers,2010,37120
afg,asylum_seekers,2011,39203
afg,asylum_seekers,2012,62313
afg,asylum_seekers,2013,75295
afg,asylum_seekers,2014,92382
afg,asylum_seekers,2015,258889
afg,asylum_seekers,2016,368957
afg,asylum_seekers,2017,333987
afg,asylum_seekers,2018,310094
afg,internally_displaced_persons,1993,15000
afg,internally_displaced_persons,1994,332200
afg,internally_displaced_persons,1995,159600
afg,internally_displaced_persons,1996,273840
afg,internally_displaced_persons,1997,296795
afg,internally_displaced_persons,1998,315800
afg,internally_displaced_persons,1999,258625
afg,internally_displaced_persons,2000,758625
afg,internally_displaced_persons,2001,1200000
afg,internally_displaced_persons,2002,665156
afg,internally_displaced_persons,2003,184269
afg,internally_displaced_persons,2004,159549
afg,internally_displaced_persons,2005,142505
afg,internally_displaced_persons,2006,129310
afg,internally_displaced_persons,2007,153718
afg,internally_displaced_persons,2008,230670
afg,internally_displaced_persons,2009,297129
afg,internally_displaced_persons,2010,351907
afg,internally_displaced_persons,2011,447547
afg,internally_displaced_persons,2012,486298
afg,internally_displaced_persons,2013,631286
afg,internally_displaced_persons,2014,805409
afg,internally_displaced_persons,2015,1174306
afg,internally_displaced_persons,2016,1797551
afg,internally_displaced_persons,2017,1837079
afg,internally_displaced_persons,2018,2106893
afg,others_of_concern,1998,2172
afg,others_of_concern,1999,100000
afg,others_of_concern,2000,100046
afg,others_of_concern,2001,100000
afg,others_of_concern,2002,100012
afg,others_of_concern,2003,100000
afg,others_of_concern,2004,100062
afg,others_of_concern,2005,100356
afg,others_of_concern,2006,100372
afg,others_of_concern,2007,411
afg,others_of_concern,2008,2101
afg,others_of_concern,2009,1479
afg,others_of_concern,2010,839323
afg,others_of_concern,2011,952531
afg,others_of_concern,2012,880468
afg,others_of_concern,2013,275817
afg,others_of_concern,2014,201361
afg,others_of_concern,2015,150369
afg,others_of_concern,2016,114221
afg,others_of_concern,2017,448040
afg,others_of_concern,2018,489859
afg,refugees,1979,500000
afg,refugees,1980,1734921
afg,refugees,1981,3879984
afg,refugees,1982,4488214
afg,refugees,1983,4712735
afg,refugees,1984,4417651
afg,refugees,1985,4653193
afg,refugees,1986,5094283
afg,refugees,1987,5511740
afg,refugees,1988,5622982
afg,refugees,1989,5643989
afg,refugees,1990,6339095
afg,refugees,1991,6306301
afg,refugees,1992,4552153
afg,refugees,1993,3374576
afg,refugees,1994,2731169
afg,refugees,1995,2679133
afg,refugees,1996,2674236
afg,refugees,1997,2676674
afg,refugees,1998,2667115
afg,refugees,1999,2601691
afg,refugees,2000,3587336
afg,refugees,2001,3809767
afg,refugees,2002,2510294
afg,refugees,2003,2136043
afg,refugees,2004,2414468
afg,refugees,2005,2166149
afg,refugees,2006,2107519
afg,refugees,2007,3057661
afg,refugees,2008,2833128
afg,refugees,2009,2887123
afg,refugees,2010,3054709
afg,refugees,2011,2664436
afg,refugees,2012,2586152
afg,refugees,2013,2556502
afg,refugees,2014,2596270
afg,refugees,2015,2666305
afg,refugees,2016,2501445
afg,refugees,2017,2624245
afg,refugees,2018,2681232
afg,returned_idps,1997,4000
afg,returned_idps,1998,10000
afg,returned_idps,2002,753344
afg,returned_idps,2003,82067
afg,returned_idps,2004,27391
afg,returned_idps,2005,17044
afg,returned_idps,2006,10443
afg,returned_idps,2007,8012
afg,returned_idps,2008,6453
afg,returned_idps,2009,7225
afg,returned_idps,2010,3366
afg,returned_idps,2011,75453
afg,returned_idps,2012,18830
afg,returned_idps,2013,21830
afg,returned_idps,2015,123653
afg,returned_idps,2017,32649
afg,returned_idps,2018,73527
afg,returned_refugees,1982,540
afg,returned_refugees,1983,430
afg,returned_refugees,1984,1220
afg,returned_refugees,1985,1150
afg,returned_refugees,1986,1170
afg,returned_refugees,1988,660
afg,returned_refugees,1989,920
afg,returned_refugees,1990,21580
afg,returned_refugees,1991,178270
afg,returned_refugees,1992,1576933
afg,returned_refugees,1993,1879
afg,returned_refugees,1994,329327
afg,returned_refugees,1995,348343
afg,returned_refugees,1996,158715
afg,returned_refugees,1997,86500
afg,returned_refugees,1998,107046
afg,returned_refugees,1999,253031
afg,returned_refugees,2000,292484
afg,returned_refugees,2001,26092
afg,returned_refugees,2002,1957958
afg,returned_refugees,2003,645864
afg,returned_refugees,2004,879780
afg,returned_refugees,2005,752090
afg,returned_refugees,2006,387917
afg,returned_refugees,2007,373856
afg,returned_refugees,2008,278489
afg,returned_refugees,2009,57582
afg,returned_refugees,2010,118032
afg,returned_refugees,2011,71145
afg,returned_refugees,2012,98609
afg,returned_refugees,2013,39666
afg,returned_refugees,2014,17820
afg,returned_refugees,2015,61379
afg,returned_refugees,2016,383951
afg,returned_refugees,2017,60545
afg,returned_refugees,2018,16220
ago,asylum_seekers,2000,5493
ago,asylum_seekers,2001,9853
ago,asylum_seekers,2002,14282
ago,asylum_seekers,2003,11718
ago,asylum_seekers,2004,9548
ago,asylum_seekers,2005,8352
ago,asylum_seekers,2006,1581
ago,asylum_seekers,2007,798
ago,asylum_seekers,2008,741
ago,asylum_seekers,2009,699
ago,asylum_seekers,2010,732
ago,asylum_seekers,2011,783
ago,asylum_seekers,2012,1166
ago,asylum_seekers,2013,1460
ago,asylum_seekers,2014,1774
ago,asylum_seekers,2015,3281
ago,asylum_seekers,2016,4773
ago,asylum_seekers,2017,7812
ago,asylum_seekers,2018,8894
ago,internally_displaced_persons,1993,88000
ago,internally_displaced_persons,1994,303800
ago,internally_displaced_persons,2000,257508
ago,internally_displaced_persons,2001,202000
ago,internally_displaced_persons,2002,188728
ago,others_of_concern,1998,8
ago,others_of_concern,2000,165
ago,others_of_concern,2001,2
ago,others_of_concern,2009,14480
ago,others_of_concern,2012,96398
ago,others_of_concern,2013,96786
ago,others_of_concern,2014,64201
ago,others_of_concern,2015,34966
ago,others_of_concern,2016,19958
ago,others_of_concern,2017,17729
ago,others_of_concern,2018,18020
ago,refugees,1960,150000
ago,refugees,1961,150000
ago,refugees,1962,170000
ago,refugees,1963,175000
ago,refugees,1964,200000
ago,refugees,1965,220000
ago,refugees,1966,303800
ago,refugees,1967,356200
ago,refugees,1968,381360
ago,refugees,1969,408190
ago,refugees,1970,414120
ago,refugees,1971,419690
ago,refugees,1972,421500
ago,refugees,1973,426550
ago,refugees,1974,497390
ago,refugees,1975,501830
ago,refugees,1976,499190
ago,refugees,1977,529830
ago,refugees,1978,646110
ago,refugees,1979,652980
ago,refugees,1980,449030
ago,refugees,1981,457060
ago,refugees,1982,465891
ago,refugees,1983,298110
ago,refugees,1984,357821
ago,refugees,1985,317392
ago,refugees,1986,355412
ago,refugees,1987,391733
ago,refugees,1988,407566
ago,refugees,1989,408692
ago,refugees,1990,407760
ago,refugees,1991,381636
ago,refugees,1992,300492
ago,refugees,1993,323831
ago,refugees,1994,282577
ago,refugees,1995,246657
ago,refugees,1996,249687
ago,refugees,1997,267696
ago,refugees,1998,319430
ago,refugees,1999,353478
ago,refugees,2000,433760
ago,refugees,2001,470625
ago,refugees,2002,435421
ago,refugees,2003,329583
ago,refugees,2004,228851
ago,refugees,2005,215827
ago,refugees,2006,206501
ago,refugees,2007,186155
ago,refugees,2008,171393
ago,refugees,2009,141021
ago,refugees,2010,134858
ago,refugees,2011,128664
ago,refugees,2012,19258
ago,refugees,2013,10286
ago,refugees,2014,9484
ago,refugees,2015,11869
ago,refugees,2016,8404
ago,refugees,2017,8275
ago,refugees,2018,8213
ago,returned_idps,2002,13272
ago,returned_refugees,1966,1100
ago,returned_refugees,1968,100
ago,returned_refugees,1969,230
ago,returned_refugees,1971,650
ago,returned_refugees,1978,33530
ago,returned_refugees,1979,51350
ago,returned_refugees,1980,200110
ago,returned_refugees,1982,13370
ago,returned_refugees,1984,1870
ago,returned_refugees,1985,630
ago,returned_refugees,1986,330
ago,returned_refugees,1987,420
ago,returned_refugees,1988,1340
ago,returned_refugees,1989,6230
ago,returned_refugees,1990,7000
ago,returned_refugees,1991,35280
ago,returned_refugees,1992,84781
ago,returned_refugees,1993,1319
ago,returned_refugees,1994,49
ago,returned_refugees,1995,13326
ago,returned_refugees,1996,549
ago,returned_refugees,1997,54008
ago,returned_refugees,1998,21791
ago,returned_refugees,1999,19952
ago,returned_refugees,2000,8538
ago,returned_refugees,2001,13128
ago,returned_refugees,2002,87544
ago,returned_refugees,2003,132977
ago,returned_refugees,2004,90246
ago,returned_refugees,2005,53771
ago,returned_refugees,2006,47017
ago,returned_refugees,2007,12017
ago,returned_refugees,2008,13052
ago,returned_refugees,2009,2449
ago,returned_refugees,2010,488
ago,returned_refugees,2011,3967
ago,returned_refugees,2012,19724
ago,returned_refugees,2013,1666
ago,returned_refugees,2014,14284
ago,returned_refugees,2015,4639
aia,refugees,2014,1
aia,refugees,2015,1
aia,refugees,2016,1
alb,asylum_seekers,2000,2817
alb,asylum_seekers,2001,3978
alb,asylum_seekers,2002,4992
alb,asylum_seekers,2003,4535
alb,asylum_seekers,2004,3328
alb,asylum_seekers,2005,2579
alb,asylum_seekers,2006,2279
alb,asylum_seekers,2007,1640
alb,asylum_seekers,2008,1822
alb,asylum_seekers,2009,1592
alb,asylum_seekers,2010,1358
alb,asylum_seekers,2011,2203
alb,asylum_seekers,2012,3718
alb,asylum_seekers,2013,9765
alb,asylum_seekers,2014,15212
alb,asylum_seekers,2015,42162
alb,asylum_seekers,2016,23787
alb,asylum_seekers,2017,18753
alb,asylum_seekers,2018,21066
alb,others_of_concern,2010,36
alb,others_of_concern,2011,613
alb,others_of_concern,2012,783
alb,others_of_concern,2013,1013
alb,others_of_concern,2015,1
alb,others_of_concern,2016,1
alb,refugees,1964,100
alb,refugees,1965,4860
alb,refugees,1966,4860
alb,refugees,1967,4260
alb,refugees,1968,4120
alb,refugees,1969,4290
alb,refugees,1970,4310
alb,refugees,1971,390
alb,refugees,1972,2300
alb,refugees,1973,2090
alb,refugees,1974,380
alb,refugees,1975,380
alb,refugees,1977,2000
alb,refugees,1978,1980
alb,refugees,1979,1610
alb,refugees,1980,1681
alb,refugees,1981,1680
alb,refugees,1982,1645
alb,refugees,1983,1610
alb,refugees,1984,1576
alb,refugees,1985,1587
alb,refugees,1986,90
alb,refugees,1987,129
alb,refugees,1988,358
alb,refugees,1989,367
alb,refugees,1990,1822
alb,refugees,1991,3540
alb,refugees,1992,4353
alb,refugees,1993,4744
alb,refugees,1994,5019
alb,refugees,1995,5803
alb,refugees,1996,5785
alb,refugees,1997,5379
alb,refugees,1998,5353
alb,refugees,1999,6288
alb,refugees,2000,6802
alb,refugees,2001,7626
alb,refugees,2002,10761
alb,refugees,2003,10385
alb,refugees,2004,10478
alb,refugees,2005,12722
alb,refugees,2006,14079
alb,refugees,2007,15340
alb,refugees,2008,15006
alb,refugees,2009,15711
alb,refugees,2010,14772
alb,refugees,2011,13551
alb,refugees,2012,12568
alb,refugees,2013,10103
alb,refugees,2014,10158
alb,refugees,2015,10408
alb,refugees,2016,11065
alb,refugees,2017,12167
alb,refugees,2018,13507
alb,returned_refugees,1991,220
alb,returned_refugees,1992,232
alb,returned_refugees,1994,4
alb,returned_refugees,1996,2
alb,returned_refugees,2000,1
alb,returned_refugees,2002,3
alb,returned_refugees,2006,10
alb,returned_refugees,2007,2
and,asylum_seekers,2000,1
and,asylum_seekers,2001,7
and,asylum_seekers,2002,3
and,asylum_seekers,2003,3
and,asylum_seekers,2004,4
and,asylum_seekers,2005,3
and,asylum_seekers,2006,1
and,asylum_seekers,2007,3
and,asylum_seekers,2008,3
and,asylum_seekers,2009,2
and,asylum_seekers,2010,2
and,asylum_seekers,2015,4
and,asylum_seekers,2016,4
and,refugees,1994,2
and,refugees,1995,2
and,refugees,1996,3
and,refugees,1997,1
and,refugees,1998,2
and,refugees,1999,3
and,refugees,2000,2
and,refugees,2001,1
and,refugees,2002,10
and,refugees,2003,10
and,refugees,2004,3
and,refugees,2005,9
and,refugees,2006,10
and,refugees,2007,9
and,refugees,2008,6
and,refugees,2009,6
and,refugees,2010,6
and,refugees,2011,6
and,refugees,2012,7
and,refugees,2013,5
and,refugees,2014,7
and,refugees,2015,5
and,refugees,2016,2
are,asylum_seekers,2000,10
are,asylum_seekers,2001,31
are,asylum_seekers,2002,38
are,asylum_seekers,2003,25
are,asylum_seekers,2004,11
are,asylum_seekers,2005,16
are,asylum_seekers,2006,12
are,asylum_seekers,2007,10
are,asylum_seekers,2008,11
are,asylum_seekers,2009,26
are,asylum_seekers,2010,29
are,asylum_seekers,2011,14
are,asylum_seekers,2012,24
are,asylum_seekers,2013,46
are,asylum_seekers,2014,80
are,asylum_seekers,2015,105
are,asylum_seekers,2016,165
are,asylum_seekers,2017,190
are,asylum_seekers,2018,262
are,others_of_concern,2013,20
are,refugees,1997,4
are,refugees,1998,7
are,refugees,1999,7
are,refugees,2000,15
are,refugees,2001,18
are,refugees,2002,31
are,refugees,2003,20
are,refugees,2004,71
are,refugees,2005,30
are,refugees,2006,265
are,refugees,2007,308
are,refugees,2008,256
are,refugees,2009,414
are,refugees,2010,424
are,refugees,2011,486
are,refugees,2012,584
are,refugees,2013,90
are,refugees,2014,90
are,refugees,2015,99
are,refugees,2016,112
are,refugees,2017,132
are,refugees,2018,164
arg,asylum_seekers,2000,1562
arg,asylum_seekers,2001,1453
arg,asylum_seekers,2002,1333
arg,asylum_seekers,2003,1135
arg,asylum_seekers,2004,507
arg,asylum_seekers,2005,292
arg,asylum_seekers,2006,179
arg,asylum_seekers,2007,121
arg,asylum_seekers,2008,143
arg,asylum_seekers,2009,157
arg,asylum_seekers,2010,90
arg,asylum_seekers,2011,60
arg,asylum_seekers,2012,48
arg,asylum_seekers,2013,84
arg,asylum_seekers,2014,117
arg,asylum_seekers,2015,170
arg,asylum_seekers,2016,214
arg,asylum_seekers,2017,348
arg,asylum_seekers,2018,479
arg,refugees,1980,38
arg,refugees,1981,38
arg,refugees,1982,1019
arg,refugees,1983,42
arg,refugees,1984,42
arg,refugees,1985,51
arg,refugees,1986,52
arg,refugees,1987,47
arg,refugees,1988,46
arg,refugees,1989,103
arg,refugees,1990,334
arg,refugees,1991,198
arg,refugees,1992,113
arg,refugees,1993,98
arg,refugees,1994,469
arg,refugees,1995,330
arg,refugees,1996,217
arg,refugees,1997,159
arg,refugees,1998,142
arg,refugees,1999,586
arg,refugees,2000,609
arg,refugees,2001,659
arg,refugees,2002,771
arg,refugees,2003,784
arg,refugees,2004,796
arg,refugees,2005,856
arg,refugees,2006,894
arg,refugees,2007,1171
arg,refugees,2008,1047
arg,refugees,2009,608
arg,refugees,2010,557
arg,refugees,2011,518
arg,refugees,2012,447
arg,refugees,2013,388
arg,refugees,2014,318
arg,refugees,2015,194
arg,refugees,2016,128
arg,refugees,2017,115
arg,refugees,2018,97
arg,returned_refugees,1983,150
arg,returned_refugees,1984,2230
arg,returned_refugees,1985,50
arg,returned_refugees,1993,5
arg,returned_refugees,1994,2
arg,returned_refugees,1995,8
arg,returned_refugees,1998,1
arg,returned_refugees,2000,1
arg,returned_refugees,2004,4
arg,returned_refugees,2008,1
arm,asylum_seekers,2000,5228
arm,asylum_seekers,2001,6078
arm,asylum_seekers,2002,5669
arm,asylum_seekers,2003,4967
arm,asylum_seekers,2004,4049
arm,asylum_seekers,2005,4352
arm,asylum_seekers,2006,5402
arm,asylum_seekers,2007,3983
arm,asylum_seekers,2008,3768
arm,asylum_seekers,2009,4081
arm,asylum_seekers,2010,2957
arm,asylum_seekers,2011,2657
arm,asylum_seekers,2012,2889
arm,asylum_seekers,2013,5369
arm,asylum_seekers,2014,6943
arm,asylum_seekers,2015,8502
arm,asylum_seekers,2016,13100
arm,asylum_seekers,2017,14907
arm,asylum_seekers,2018,13665
arm,internally_displaced_persons,1993,77000
arm,internally_displaced_persons,1994,72000
arm,internally_displaced_persons,1995,72000
arm,internally_displaced_persons,1996,72000
