origin,is--origin
cmr,TRUE
eth,TRUE
uzb,TRUE
sjm,TRUE
kor,TRUE
mco,TRUE
tls,TRUE
tto,TRUE
pak,TRUE
gib,TRUE
esp,TRUE
nld,TRUE
irl,TRUE
vnm,TRUE
khm,TRUE
gbr,TRUE
nld_curacao,TRUE
sdn,TRUE
uga,TRUE
sau,TRUE
sen,TRUE
cym,TRUE
plw,TRUE
ven,TRUE
bwa,TRUE
can,TRUE
hrv,TRUE
zaf,TRUE
nga,TRUE
alb,TRUE
bra,TRUE
jor,TRUE
ecu,TRUE
gha,TRUE
dji,TRUE
aus,TRUE
stp,TRUE
vct,TRUE
ltu,TRUE
kgz,TRUE
bgd,TRUE
aia,TRUE
dza,TRUE
serbia_kosovo,TRUE
gab,TRUE
mli,TRUE
kir,TRUE
sle,TRUE
bfa,TRUE
slv,TRUE
sgp,TRUE
cze,TRUE
mne,TRUE
syr,TRUE
grd,TRUE
cog,TRUE
pol,TRUE
bhs,TRUE
mmr,TRUE
fin,TRUE
civ,TRUE
various_unknown,TRUE
bdi,TRUE
tjk,TRUE
mlt,TRUE
nfk,TRUE
mhl,TRUE
gtm,TRUE
atg,TRUE
hti,TRUE
vut,TRUE
nzl,TRUE
rou,TRUE
eri,TRUE
lva,TRUE
lux,TRUE
wsm,TRUE
geo,TRUE
irn,TRUE
moz,TRUE
mdg,TRUE
swz,TRUE
swe,TRUE
mar,TRUE
omn,TRUE
slb,TRUE
lbn,TRUE
btn,TRUE
glp,TRUE
pri,TRUE
guf,TRUE
msr,TRUE
mys,TRUE
jam,TRUE
svn,TRUE
fsm,TRUE
rwa,TRUE
cok,TRUE
mng,TRUE
lby,TRUE
cpv,TRUE
tun,TRUE
bel,TRUE
est,TRUE
spm,TRUE
nor,TRUE
sur,TRUE
lca,TRUE
che,TRUE
asm,TRUE
brb,TRUE
abw,TRUE
com,TRUE
bonaire,TRUE
per,TRUE
som,TRUE
stateless,TRUE
lka,TRUE
afg,TRUE
tha,TRUE
png,TRUE
ner,TRUE
mus,TRUE
col,TRUE
mdv,TRUE
and,TRUE
jpn,TRUE
idn,TRUE
cub,TRUE
aut,TRUE
fra,TRUE
syc,TRUE
dma,TRUE
grc,TRUE
pse,TRUE
qat,TRUE
cyp,TRUE
ncl,TRUE
ago,TRUE
ukr,TRUE
gnb,TRUE
zmb,TRUE
caf,TRUE
arg,TRUE
dom,TRUE
tcd,TRUE
pry,TRUE
ssd,TRUE
usa,TRUE
ind,TRUE
ken,TRUE
npl,TRUE
lao,TRUE
guy,TRUE
tkm,TRUE
lbr,TRUE
mwi,TRUE
kwt,TRUE
vgb,TRUE
blz,TRUE
ita,TRUE
ury,TRUE
bhr,TRUE
tuv,TRUE
niu,TRUE
dnk,TRUE
ton,TRUE
tur,TRUE
tibetan,TRUE
bgr,TRUE
tca,TRUE
hkg,TRUE
chn,TRUE
are,TRUE
wlf,TRUE
aze,TRUE
tza,TRUE
lie,TRUE
isr,TRUE
blr,TRUE
hnd,TRUE
cod,TRUE
yem,TRUE
pan,TRUE
hun,TRUE
mac,TRUE
gnq,TRUE
bmu,TRUE
nru,TRUE
kaz,TRUE
gmb,TRUE
phl,TRUE
chl,TRUE
cri,TRUE
prk,TRUE
zwe,TRUE
irq,TRUE
esh,TRUE
svk,TRUE
rus,TRUE
gum,TRUE
arm,TRUE
hos,TRUE
pyf,TRUE
bol,TRUE
mda,TRUE
mrt,TRUE
mex,TRUE
mtq,TRUE
mkd,TRUE
lso,TRUE
nic,TRUE
deu,TRUE
fji,TRUE
ben,TRUE
tgo,TRUE
bih,TRUE
egy,TRUE
smr,TRUE
sxm,TRUE
prt,TRUE
gin,TRUE
kna,TRUE
isl,TRUE
brn,TRUE
nam,TRUE
