geo,latitude,longitude,name,un_state,world_4region
abkh,,,Abkhazia,FALSE,europe
abw,12.5,-69.96667,Aruba,FALSE,americas
afg,33.0,66.0,Afghanistan,TRUE,asia
ago,-12.5,18.5,Angola,TRUE,africa
aia,18.21667,-63.05,Anguilla,FALSE,americas
akr_a_dhe,,,Akrotiri and Dhekelia,FALSE,europe
ala,60.25,20.0,Åland,FALSE,europe
alb,41.0,20.0,Albania,TRUE,europe
and,42.50779,1.52109,Andorra,TRUE,europe
ant,,,Netherlands Antilles,FALSE,americas
are,23.75,54.5,United Arab Emirates,TRUE,asia
arg,-34.0,-64.0,Argentina,TRUE,americas
arm,40.25,45.0,Armenia,TRUE,europe
asm,-11.056,-171.082,American Samoa,FALSE,asia
ata,-90.0,0.0,Antarctica,FALSE,europe
atg,17.05,-61.8,Antigua and Barbuda,TRUE,americas
aus,-25.0,135.0,Australia,TRUE,asia
aut,47.33333,13.33333,Austria,TRUE,europe
aze,40.5,47.5,Azerbaijan,TRUE,europe
bdi,-3.5,30.0,Burundi,TRUE,africa
bel,50.75,4.5,Belgium,TRUE,europe
ben,9.5,2.25,Benin,TRUE,africa
bfa,12.5,-1.66667,Burkina Faso,TRUE,africa
bgd,24.0,90.0,Bangladesh,TRUE,asia
bgr,42.66667,25.25,Bulgaria,TRUE,europe
bhr,26.03333,50.55,Bahrain,TRUE,asia
bhs,25.04082,-77.37122,Bahamas,TRUE,americas
bih,44.25,17.83333,Bosnia and Herzegovina,TRUE,europe
blr,53.0,28.0,Belarus,TRUE,europe
blz,17.49952,-88.19756,Belize,TRUE,americas
bmu,32.2949,-64.78303,Bermuda,FALSE,americas
bol,-17.0,-65.0,Bolivia,TRUE,americas
bouisl,,,Bouvet Island,FALSE,africa
bra,-10.0,-55.0,Brazil,TRUE,americas
brb,13.16667,-59.53333,Barbados,TRUE,americas
brn,4.5,114.66667,Brunei,TRUE,asia
btn,27.5,90.5,Bhutan,TRUE,asia
bwa,-22.0,24.0,Botswana,TRUE,africa
caf,7.0,21.0,Central African Republic,TRUE,africa
can,60.10867,-113.64258,Canada,TRUE,americas
cck,-12.1642,96.87332,Cocos Island,FALSE,asia
chanisl,,,Channel Islands,FALSE,europe
che,47.00016,8.01427,Switzerland,TRUE,europe
cheslo,,,Czechoslovakia,FALSE,europe
chl,-33.45694,-70.64827,Chile,TRUE,americas
chn,35.0,105.0,China,TRUE,asia
civ,8.0,-5.5,Cote d'Ivoire,TRUE,africa
cmr,6.0,12.5,Cameroon,TRUE,africa
cod,-2.5,23.5,"Congo, Dem. Rep.",TRUE,africa
cog,-1.0,15.5,"Congo, Rep.",TRUE,africa
cok,-21.24842,-159.78516,Cook Is,FALSE,asia
col,4.0,-73.25,Colombia,TRUE,americas
com,-12.23333,44.44553,Comoros,TRUE,africa
cpv,16.0,-24.0,Cape Verde,TRUE,africa
cri,10.0,-84.0,Costa Rica,TRUE,americas
cub,22.0,-79.5,Cuba,TRUE,americas
cxr,-10.5,105.66667,Christmas Island,FALSE,asia
cym,19.5,-80.66667,Cayman Islands,FALSE,americas
cyp,35.0,33.0,Cyprus,TRUE,europe
cyp_nor,,,Northern Cyprus,FALSE,europe
cze,49.75,15.0,Czech Republic,TRUE,europe
deu,51.5,10.5,Germany,TRUE,europe
deu_east,,,East Germany,FALSE,europe
deu_west,,,West Germany,FALSE,europe
dji,11.58901,43.14503,Djibouti,TRUE,africa
dma,15.5,-61.33333,Dominica,TRUE,americas
dnk,56.0,10.0,Denmark,TRUE,europe
dom,19.0,-70.66667,Dominican Republic,TRUE,americas
dza,28.0,3.0,Algeria,TRUE,africa
ecu,-1.25,-78.25,Ecuador,TRUE,americas
egy,27.0,30.0,Egypt,TRUE,africa
eri,15.0,39.0,Eritrea,TRUE,africa
eri_a_eth,,,Eritrea and Ethiopia,FALSE,africa
esh,24.49215,-12.65625,Western Sahara,FALSE,africa
esp,40.0,-4.0,Spain,TRUE,europe
est,59.0,26.0,Estonia,TRUE,europe
eth,9.0,39.5,Ethiopia,TRUE,africa
fin,64.0,26.0,Finland,TRUE,europe
